 Name_of_Dr , Dr_Exp, Specialisation , Address , Fee , Services 
Dr. Kartik R. Morjaria,10,"['Prosthodontist', 'Implantologist', 'Cosmetic/Aesthetic Dentist', 'Dentist', 'Dental Surgeon']","['408-412, Garden Commercial Complex, 4th Floor, Landmark: Opposite Sadhu Vasvani Girls School, Rajkot']",['₹300'],"['Acrylic Partial Denture', 'BPS Dentures Fixing', 'Cosmetic/ Aesthetic Dentistry', 'Crowns and Bridges Fixing', 'Complete/Partial Dentures Fixing', 'Cast Partial Denture', ' Tooth Extraction', 'Dental Fillings', 'Fixed Partial Denture (FPD)', 'Flexible Partial/Complete Denture', 'Laminates', 'Post and Core', 'Smile Design', 'Occlusual Therapy', 'Scaling / Polishing']"
Dr. Riddhi Morjaria,7,"['Cosmetic/Aesthetic Dentist', 'Dentist', 'Dental Surgeon']","['408-412, Garden Commercial Complex, 4th Floor, Landmark: Opposite Sadhu Vasvani Girls School, Rajkot']",['₹300'],"['Impaction / Impacted Tooth Extraction', 'Conservative Dentistry', 'Cosmetic/ Aesthetic Dentistry', 'Endo Surgery Or Apicoectomy', 'RCT - Root Canal Treatment', 'Dental Sealant', 'Post and Core', 'Smile Design', 'Teeth Reshaping', 'Tooth Coloured Fillings', 'Dental Braces Fixing', 'Dental Fillings', 'Immediate Dentures', 'Wedding Smile Planner', 'Scaling / Polishing']"
Dr. Jayendra Patel,5,['Dental Surgeon'],"['205, Pramukh Darshan Complex, Near Patel Wadi, Pedak Road, Rajkot, Landmark: Near Patel Wadi, Rajkot']",['₹100'],"[' Tooth Extraction', 'Orthodontic Treatment', 'Cosmetic Veneers/Bonding', 'Bone Grafting for Dental Implants', 'Pulpectomy', 'Scaling / Polishing', 'Ceramic Veneers / Crowns ', 'Oral Surgery Procedures', 'Mouth Guard', 'Cosmetic/ Aesthetic Dentistry']"
Dr. Jignasha Vasoya,5,"['Dentist', 'Dental Surgeon']","['205, Pramukh Darshan Complex, Near Patel Wadi, Pedak Road, Rajkot, Landmark: Near Patel Wadi, Rajkot']",['₹100'],"['Full Mouth Rehabilitation', 'Zirconia Crowns', 'Dental Fillings', 'Ceramic Veneers / Crowns ']"
Dr. Nigam Buch,20,['Periodontist'],"['3rd Floor, Ekta Complex, Vidyanagar Main Road., Landmark: Opposite To Mai Mandir, Rajkot']",['₹300'],"['Flap Surgery', 'Dental Implant Fixing', 'Laser Surgery', 'Teeth Whitening', 'Veneers / Laminates', 'Implant Retained Dentures', 'Periodontal Flap Surgery', 'Laser Gum Surgery', 'Cast Partial Denture', 'Cosmetic/ Aesthetic Dentistry', 'Endo Surgery Or Apicoectomy', 'Prosthetic Care and Rehabilitation']"
Dr. Hetal Buch,17,['Dentist'],"['3rd Floor, Ekta Complex, Vidyanagar Main Road., Landmark: Opposite To Mai Mandir, Rajkot']",['₹300'],"['Artificial Teeth', 'Impaction / Impacted Tooth Extraction', 'Crowns and Bridges Fixing']"
Dr. Nirav Vachhani,10,"['Oral And MaxilloFacial Surgeon', 'Dental Surgeon', 'Implantologist']","['132-137, 1st Floor, Jasal Complex, 150 Feet Ring Road, Landmark: Opposite Sterling Hospital, Rajkot']",['₹300'],"['Oral & Maxillofacial Surgery', 'Surgical Tooth Extraction', 'Dental Checkup (General)', 'Osseointegrated implants', 'Facial aesthetics', 'Laser Lip Surgery', 'Dental Examinations', 'Jaw Reshaping']"
Dr. Bruhvi Poptani,18,"['Dentist', 'Endodontist', 'Cosmetic/Aesthetic Dentist', 'Implantologist', 'Dental Surgeon']","['Dr. Poptani Hospital Building, Vidyanagar Main Road, Landmark: Behind Rashtriya Shala, Rajkot']",['₹200'],"['Crowns and Bridges Fixing', 'Cosmetic/ Aesthetic Dentistry', 'Presurgical Orthodontics', 'Dental Implant Fixing', 'Oral & Maxillofacial Surgery']"
Dr. Nilesh N Raval,28,['Dentist'],"['Yash Raj Complex, University Road., Landmark: Opposite Gujarat Housing Board, Rajkot']",['₹200'],"['Teeth Whitening', 'Cosmetic/ Aesthetic Dentistry', 'Crowns & Veneers', 'Non-surgical Gum Treatment', 'Tooth Coloured Fillings', 'Dental Implant Fixing', 'Complete/Partial Dentures Fixing']"
Dr. Nupur M Bhalodia,8,"['Dentist', 'Cosmetic/Aesthetic Dentist']","['Purusharth, 1st Floor, Hanuman Madhi Chowk, Shivpara, Raiya Road., Landmark: Near Hanuman Temple., Rajkot']",['₹150'],"['Pulpectomy', 'Crowns and Bridges Fixing', 'Impaction / Impacted Tooth Extraction', 'Veneers / Laminates', 'Cosmetic/ Aesthetic Dentistry', 'Complete/Partial Dentures Fixing', 'Dental Fillings', 'Composite Bondings', 'Smile Design', 'Wedding Smile Planner']"
